# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  	# Time (fs), Anistropy  
0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   	0.000000  0.400   
0.400000  0.400   	0.400000  0.399   	0.400000  0.400   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.400   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.400   	0.400000  0.400   	0.400000  0.399   	0.400000  0.400   	0.400000  0.399   	0.400000  0.400   	0.400000  0.400   	0.400000  0.400   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.400   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.400   	0.400000  0.399   	0.400000  0.400   	0.400000  0.399   	0.400000  0.400   	0.400000  0.400   	0.400000  0.400   	0.400000  0.400   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.400   	0.400000  0.400   	0.400000  0.399   	0.400000  0.399   	0.400000  0.400   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.400   	0.400000  0.399   	0.400000  0.400   	0.400000  0.400   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.400   	0.400000  0.399   	0.400000  0.400   	0.400000  0.399   	0.400000  0.400   	0.400000  0.400   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.400   	0.400000  0.400   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.399   	0.400000  0.400   	0.400000  0.400   	0.400000  0.400   	0.400000  0.400   	0.400000  0.399   	0.400000  0.400   	0.400000  0.399   	0.400000  0.400   	0.400000  0.400   	0.400000  0.400   
0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.400   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.398   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.390   	0.800000  0.399   	0.800000  0.400   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.400   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   	0.800000  0.399   
1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.396   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.398   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.398   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.398   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.398   	1.200000  0.399   	1.200000  0.399   	1.200000  0.397   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.393   	1.200000  0.399   	1.200000  0.399   	1.200000  0.398   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.371   	1.200000  0.399   	1.200000  0.400   	1.200000  0.399   	1.200000  0.399   	1.200000  0.398   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   	1.200000  0.399   
1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.390   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.396   	1.600000  0.398   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.395   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.398   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.395   	1.600000  0.399   	1.600000  0.398   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.395   	1.600000  0.399   	1.600000  0.399   	1.600000  0.393   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.398   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.398   	1.600000  0.399   	1.600000  0.385   	1.600000  0.399   	1.600000  0.399   	1.600000  0.397   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.347   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.394   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.398   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.398   	1.600000  0.399   	1.600000  0.398   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.398   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   	1.600000  0.399   
2.000000  0.399   	2.000000  0.399   	2.000000  0.399   	2.000000  0.398   	2.000000  0.397   	2.000000  0.383   	2.000000  0.399   	2.000000  0.398   	2.000000  0.399   	2.000000  0.399   	2.000000  0.392   	2.000000  0.395   	2.000000  0.399   	2.000000  0.399   	2.000000  0.397   	2.000000  0.399   	2.000000  0.389   	2.000000  0.399   	2.000000  0.399   	2.000000  0.399   	2.000000  0.399   	2.000000  0.397   	2.000000  0.399   	2.000000  0.398   	2.000000  0.399   	2.000000  0.398   	2.000000  0.388   	2.000000  0.398   	2.000000  0.396   	2.000000  0.398   	2.000000  0.399   	2.000000  0.399   	2.000000  0.392   	2.000000  0.399   	2.000000  0.399   	2.000000  0.386   	2.000000  0.399   	2.000000  0.399   	2.000000  0.399   	2.000000  0.399   	2.000000  0.399   	2.000000  0.399   	2.000000  0.397   	2.000000  0.399   	2.000000  0.398   	2.000000  0.399   	2.000000  0.399   	2.000000  0.396   	2.000000  0.398   	2.000000  0.399   	2.000000  0.399   	2.000000  0.399   	2.000000  0.396   	2.000000  0.399   	2.000000  0.375   	2.000000  0.399   	2.000000  0.399   	2.000000  0.394   	2.000000  0.398   	2.000000  0.399   	2.000000  0.398   	2.000000  0.398   	2.000000  0.327   	2.000000  0.397   	2.000000  0.399   	2.000000  0.399   	2.000000  0.399   	2.000000  0.386   	2.000000  0.399   	2.000000  0.399   	2.000000  0.397   	2.000000  0.396   	2.000000  0.398   	2.000000  0.399   	2.000000  0.399   	2.000000  0.398   	2.000000  0.398   	2.000000  0.397   	2.000000  0.399   	2.000000  0.395   	2.000000  0.399   	2.000000  0.399   	2.000000  0.399   	2.000000  0.399   	2.000000  0.399   	2.000000  0.399   	2.000000  0.398   	2.000000  0.399   	2.000000  0.399   	2.000000  0.399   	2.000000  0.399   	2.000000  0.399   
2.400000  0.399   	2.400000  0.399   	2.400000  0.399   	2.400000  0.396   	2.400000  0.396   	2.400000  0.374   	2.400000  0.399   	2.400000  0.397   	2.400000  0.398   	2.400000  0.398   	2.400000  0.386   	2.400000  0.391   	2.400000  0.399   	2.400000  0.399   	2.400000  0.395   	2.400000  0.399   	2.400000  0.381   	2.400000  0.399   	2.400000  0.399   	2.400000  0.399   	2.400000  0.399   	2.400000  0.393   	2.400000  0.399   	2.400000  0.397   	2.400000  0.399   	2.400000  0.395   	2.400000  0.377   	2.400000  0.396   	2.400000  0.392   	2.400000  0.397   	2.400000  0.399   	2.400000  0.399   	2.400000  0.389   	2.400000  0.398   	2.400000  0.399   	2.400000  0.376   	2.400000  0.399   	2.400000  0.398   	2.400000  0.399   	2.400000  0.399   	2.400000  0.399   	2.400000  0.399   	2.400000  0.396   	2.400000  0.398   	2.400000  0.397   	2.400000  0.399   	2.400000  0.399   	2.400000  0.393   	2.400000  0.398   	2.400000  0.399   	2.400000  0.399   	2.400000  0.398   	2.400000  0.392   	2.400000  0.399   	2.400000  0.365   	2.400000  0.399   	2.400000  0.399   	2.400000  0.391   	2.400000  0.396   	2.400000  0.398   	2.400000  0.396   	2.400000  0.398   	2.400000  0.312   	2.400000  0.395   	2.400000  0.399   	2.400000  0.399   	2.400000  0.399   	2.400000  0.369   	2.400000  0.399   	2.400000  0.399   	2.400000  0.395   	2.400000  0.392   	2.400000  0.397   	2.400000  0.399   	2.400000  0.399   	2.400000  0.397   	2.400000  0.397   	2.400000  0.396   	2.400000  0.399   	2.400000  0.391   	2.400000  0.398   	2.400000  0.399   	2.400000  0.399   	2.400000  0.399   	2.400000  0.399   	2.400000  0.399   	2.400000  0.397   	2.400000  0.399   	2.400000  0.398   	2.400000  0.399   	2.400000  0.399   	2.400000  0.399   
2.800000  0.399   	2.800000  0.398   	2.800000  0.399   	2.800000  0.394   	2.800000  0.393   	2.800000  0.365   	2.800000  0.398   	2.800000  0.394   	2.800000  0.396   	2.800000  0.396   	2.800000  0.380   	2.800000  0.385   	2.800000  0.399   	2.800000  0.399   	2.800000  0.391   	2.800000  0.399   	2.800000  0.369   	2.800000  0.399   	2.800000  0.398   	2.800000  0.399   	2.800000  0.399   	2.800000  0.387   	2.800000  0.399   	2.800000  0.396   	2.800000  0.399   	2.800000  0.392   	2.800000  0.361   	2.800000  0.392   	2.800000  0.387   	2.800000  0.396   	2.800000  0.399   	2.800000  0.399   	2.800000  0.387   	2.800000  0.397   	2.800000  0.399   	2.800000  0.362   	2.800000  0.399   	2.800000  0.396   	2.800000  0.399   	2.800000  0.399   	2.800000  0.398   	2.800000  0.399   	2.800000  0.395   	2.800000  0.398   	2.800000  0.395   	2.800000  0.399   	2.800000  0.399   	2.800000  0.389   	2.800000  0.397   	2.800000  0.398   	2.800000  0.399   	2.800000  0.397   	2.800000  0.388   	2.800000  0.399   	2.800000  0.356   	2.800000  0.399   	2.800000  0.398   	2.800000  0.388   	2.800000  0.393   	2.800000  0.396   	2.800000  0.394   	2.800000  0.397   	2.800000  0.302   	2.800000  0.391   	2.800000  0.399   	2.800000  0.398   	2.800000  0.399   	2.800000  0.342   	2.800000  0.399   	2.800000  0.399   	2.800000  0.390   	2.800000  0.388   	2.800000  0.396   	2.800000  0.399   	2.800000  0.399   	2.800000  0.394   	2.800000  0.396   	2.800000  0.395   	2.800000  0.398   	2.800000  0.386   	2.800000  0.396   	2.800000  0.398   	2.800000  0.399   	2.800000  0.399   	2.800000  0.399   	2.800000  0.399   	2.800000  0.396   	2.800000  0.399   	2.800000  0.396   	2.800000  0.399   	2.800000  0.399   	2.800000  0.398   
3.200000  0.398   	3.200000  0.397   	3.200000  0.399   	3.200000  0.393   	3.200000  0.391   	3.200000  0.356   	3.200000  0.397   	3.200000  0.389   	3.200000  0.393   	3.200000  0.394   	3.200000  0.372   	3.200000  0.375   	3.200000  0.399   	3.200000  0.399   	3.200000  0.384   	3.200000  0.399   	3.200000  0.355   	3.200000  0.399   	3.200000  0.397   	3.200000  0.399   	3.200000  0.398   	3.200000  0.376   	3.200000  0.399   	3.200000  0.393   	3.200000  0.399   	3.200000  0.386   	3.200000  0.340   	3.200000  0.386   	3.200000  0.379   	3.200000  0.394   	3.200000  0.399   	3.200000  0.399   	3.200000  0.386   	3.200000  0.395   	3.200000  0.399   	3.200000  -0.15   	3.200000  0.399   	3.200000  0.393   	3.200000  0.399   	3.200000  0.399   	3.200000  0.397   	3.200000  0.398   	3.200000  0.393   	3.200000  0.397   	3.200000  0.391   	3.200000  0.399   	3.200000  0.399   	3.200000  0.384   	3.200000  0.395   	3.200000  0.398   	3.200000  0.399   	3.200000  0.395   	3.200000  0.383   	3.200000  0.398   	3.200000  0.348   	3.200000  0.398   	3.200000  0.397   	3.200000  0.386   	3.200000  0.389   	3.200000  0.394   	3.200000  0.390   	3.200000  0.396   	3.200000  0.295   	3.200000  0.385   	3.200000  0.399   	3.200000  0.398   	3.200000  0.399   	3.200000  -0.03   	3.200000  0.399   	3.200000  0.398   	3.200000  0.383   	3.200000  0.381   	3.200000  0.395   	3.200000  0.399   	3.200000  0.399   	3.200000  0.391   	3.200000  0.394   	3.200000  0.393   	3.200000  0.398   	3.200000  0.380   	3.200000  0.394   	3.200000  0.398   	3.200000  0.399   	3.200000  0.399   	3.200000  0.399   	3.200000  0.399   	3.200000  0.395   	3.200000  0.399   	3.200000  0.393   	3.200000  0.399   	3.200000  0.399   	3.200000  0.397   
3.600000  0.397   	3.600000  0.394   	3.600000  0.399   	3.600000  0.390   	3.600000  0.388   	3.600000  0.349   	3.600000  0.394   	3.600000  0.380   	3.600000  0.389   	3.600000  0.390   	3.600000  0.365   	3.600000  0.362   	3.600000  0.398   	3.600000  0.399   	3.600000  0.373   	3.600000  0.399   	3.600000  0.340   	3.600000  0.399   	3.600000  0.395   	3.600000  0.399   	3.600000  0.398   	3.600000  0.358   	3.600000  0.399   	3.600000  0.389   	3.600000  0.398   	3.600000  0.378   	3.600000  0.316   	3.600000  0.377   	3.600000  0.368   	3.600000  0.392   	3.600000  0.399   	3.600000  0.399   	3.600000  0.386   	3.600000  0.391   	3.600000  0.398   	3.600000  -0.13   	3.600000  0.399   	3.600000  0.389   	3.600000  0.399   	3.600000  0.398   	3.600000  0.395   	3.600000  0.397   	3.600000  0.392   	3.600000  0.397   	3.600000  0.386   	3.600000  0.399   	3.600000  0.399   	3.600000  0.378   	3.600000  0.394   	3.600000  0.397   	3.600000  0.399   	3.600000  0.392   	3.600000  0.377   	3.600000  0.397   	3.600000  0.341   	3.600000  0.398   	3.600000  0.395   	3.600000  0.386   	3.600000  0.384   	3.600000  0.390   	3.600000  0.385   	3.600000  0.394   	3.600000  0.292   	3.600000  0.378   	3.600000  0.399   	3.600000  0.397   	3.600000  0.399   	3.600000  0.002   	3.600000  0.399   	3.600000  0.397   	3.600000  0.371   	3.600000  0.373   	3.600000  0.393   	3.600000  0.398   	3.600000  0.399   	3.600000  0.386   	3.600000  0.391   	3.600000  0.392   	3.600000  0.397   	3.600000  0.373   	3.600000  0.390   	3.600000  0.397   	3.600000  0.399   	3.600000  0.397   	3.600000  0.397   	3.600000  0.399   	3.600000  0.395   	3.600000  0.399   	3.600000  0.389   	3.600000  0.399   	3.600000  0.399   	3.600000  0.395   
