#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -18.97132
1    1    0.99251 
1    2    0.02724 
1    3    0.00062 
1    4    0.00087 
1    5    0.00000 
1    6    0.01115 
1    7    0.00001 
1    8    0.00002 
1    9    0.00000 
1    10    -0.00839 
1    11    -0.00839 
1    12    -0.00838 
1    13    0.00001 
1    14    0.00000 
1    15    0.00000 
1    16    0.00042 
1    17    -0.00114 
1    18    0.00042 
1    19    -0.00114 
MO:2   -1.12490
2    1    -0.20888 
2    2    0.45833 
2    3    0.07074 
2    4    0.10009 
2    5    0.00000 
2    6    0.44115 
2    7    0.03238 
2    8    0.04582 
2    9    0.00000 
2    10    0.01892 
2    11    0.01612 
2    12    -0.01146 
2    13    -0.00457 
2    14    0.00000 
2    15    0.00000 
2    16    0.14031 
2    17    0.01282 
2    18    0.14031 
2    19    0.01282 
MO:3   -0.65427
3    1    0.00000 
3    2    0.00000 
3    3    0.42350 
3    4    -0.29930 
3    5    0.00000 
3    6    0.00000 
3    7    0.21847 
3    8    -0.15440 
3    9    0.00000 
3    10    0.03347 
3    11    -0.03347 
3    12    0.00000 
3    13    0.01369 
3    14    0.00000 
3    15    0.00000 
3    16    0.24066 
3    17    0.12553 
3    18    -0.24066 
3    19    -0.12553 
MO:4   -0.48307
4    1    0.08344 
4    2    -0.16931 
4    3    0.32541 
4    4    0.46045 
4    5    0.00000 
4    6    -0.37782 
4    7    0.22614 
4    8    0.31998 
4    9    0.00000 
4    10    0.01468 
4    11    0.03289 
4    12    -0.00229 
4    13    0.02970 
4    14    0.00000 
4    15    0.00000 
4    16    0.13527 
4    17    0.09637 
4    18    0.13527 
4    19    0.09637 
MO:5   -0.41276
5    1    0.00000 
5    2    0.00000 
5    3    0.00000 
5    4    0.00000 
5    5    0.64303 
5    6    0.00000 
5    7    0.00000 
5    8    0.00000 
5    9    0.50771 
5    10    0.00000 
5    11    0.00000 
5    12    0.00000 
5    13    0.00000 
5    14    0.02055 
5    15    0.02908 
5    16    0.00000 
5    17    0.00000 
5    18    0.00000 
5    19    0.00000 
MO:6   0.17611
6    1    -0.10806 
6    2    0.11311 
6    3    0.14595 
6    4    0.20652 
6    5    0.00000 
6    6    1.34613 
6    7    0.26483 
6    8    0.37472 
6    9    0.00000 
6    10    -0.04808 
6    11    -0.04293 
6    12    -0.06596 
6    13    0.00840 
6    14    0.00000 
6    15    0.00000 
6    16    -0.09474 
6    17    -0.99830 
6    18    -0.09474 
6    19    -0.99830 
MO:7   0.26332
7    1    0.00000 
7    2    0.00000 
7    3    0.32109 
7    4    -0.22692 
7    5    0.00000 
7    6    0.00000 
7    7    0.64437 
7    8    -0.45540 
7    9    0.00000 
7    10    0.01507 
7    11    -0.01507 
7    12    0.00000 
7    13    0.00616 
7    14    0.00000 
7    15    0.00000 
7    16    -0.09033 
7    17    -1.30422 
7    18    0.09033 
7    19    1.30422 
MO:8   0.92282
8    1    0.00000 
8    2    0.00000 
8    3    -0.17942 
8    4    0.12680 
8    5    0.00000 
8    6    0.00000 
8    7    -0.36424 
8    8    0.25742 
8    9    0.00000 
8    10    0.16992 
8    11    -0.16992 
8    12    0.00000 
8    13    0.06948 
8    14    0.00000 
8    15    0.00000 
8    16    0.84646 
8    17    -0.60737 
8    18    -0.84646 
8    19    0.60737 
MO:9   0.97180
9    1    0.04478 
9    2    -0.28929 
9    3    -0.27789 
9    4    -0.39321 
9    5    0.00000 
9    6    0.31978 
9    7    0.04423 
9    8    0.06258 
9    9    0.00000 
9    10    0.07705 
9    11    0.00275 
9    12    -0.18094 
9    13    -0.12114 
9    14    0.00000 
9    15    0.00000 
9    16    0.82705 
9    17    -0.58583 
9    18    0.82705 
9    19    -0.58583 
MO:10   1.02095
10    1    0.00289 
10    2    -0.67464 
10    3    0.44352 
10    4    0.62756 
10    5    0.00000 
10    6    1.12250 
10    7    -0.55012 
10    8    -0.77840 
10    9    0.00000 
10    10    -0.19255 
10    11    -0.22193 
10    12    -0.25202 
10    13    -0.04791 
10    14    0.00000 
10    15    0.00000 
10    16    0.25403 
10    17    -0.17205 
10    18    0.25403 
10    19    -0.17204 
MO:11   1.02254
11    1    0.00000 
11    2    0.00000 
11    3    0.00000 
11    4    0.00000 
11    5    -0.96047 
11    6    0.00000 
11    7    0.00000 
11    8    0.00000 
11    9    1.03782 
11    10    0.00000 
11    11    0.00000 
11    12    0.00000 
11    13    0.00000 
11    14    0.00928 
11    15    0.01313 
11    16    0.00000 
11    17    0.00000 
11    18    0.00000 
11    19    0.00000 
MO:12   1.19422
12    1    0.00000 
12    2    0.00000 
12    3    -0.80973 
12    4    0.57226 
12    5    0.00000 
12    6    0.00000 
12    7    1.36695 
12    8    -0.96606 
12    9    0.00000 
12    10    -0.02215 
12    11    0.02215 
12    12    0.00000 
12    13    -0.00906 
12    14    0.00000 
12    15    0.00000 
12    16    -0.01098 
12    17    -0.91413 
12    18    0.01097 
12    19    0.91413 
MO:13   1.29263
13    1    -0.07734 
13    2    -1.52970 
13    3    -0.22478 
13    4    -0.31806 
13    5    0.00000 
13    6    3.70502 
13    7    0.57555 
13    8    0.81438 
13    9    0.00000 
13    10    -0.56964 
13    11    -0.48045 
13    12    -0.31247 
13    13    0.14542 
13    14    0.00000 
13    15    0.00000 
13    16    -0.26140 
13    17    -0.82555 
13    18    -0.26140 
13    19    -0.82555 
MO:14   1.85464
14    1    0.00000 
14    2    0.00000 
14    3    0.00000 
