#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -19.10594
1    1    0.99228 
1    2    0.03346 
1    3    0.00410 
1    4    0.00574 
1    5    0.00000 
1    6    0.02201 
1    7    0.00107 
1    8    0.00151 
1    9    0.00000 
1    10    -0.01022 
1    11    -0.00896 
1    12    -0.01108 
1    13    0.00208 
1    14    0.00000 
1    15    0.00000 
1    16    -0.00381 
1    17    -0.00367 
1    18    0.00177 
1    19    -0.00233 
1    20    0.00000 
1    21    -0.00374 
1    22    -0.00367 
1    23    -0.00278 
1    24    0.00087 
1    25    0.00000 
MO:2   -1.29576
2    1    -0.24554 
2    2    0.36182 
2    3    0.13403 
2    4    0.19003 
2    5    0.00000 
2    6    0.11172 
2    7    -0.00684 
2    8    -0.01763 
2    9    0.00000 
2    10    -0.02941 
2    11    -0.00028 
2    12    -0.02039 
2    13    0.05030 
2    14    0.00000 
2    15    0.00000 
2    16    0.31516 
2    17    0.03102 
2    18    -0.02702 
2    19    -0.03235 
2    20    0.00000 
2    21    0.31889 
2    22    0.03508 
2    23    -0.01933 
2    24    -0.03138 
2    25    0.00000 
MO:3   -0.76787
3    1    -0.00104 
3    2    -0.00168 
3    3    0.49533 
3    4    -0.35772 
3    5    0.00000 
3    6    -0.00451 
3    7    0.04922 
3    8    -0.04284 
3    9    0.00000 
3    10    0.03316 
3    11    -0.02907 
3    12    0.00090 
3    13    0.01016 
3    14    0.00000 
3    15    0.00000 
3    16    0.33087 
3    17    0.16019 
3    18    -0.03026 
3    19    0.00525 
3    20    0.00000 
3    21    -0.33327 
3    22    -0.15210 
3    23    -0.01538 
3    24    0.02120 
3    25    0.00000 
MO:4   -0.40529
4    1    0.08299 
4    2    -0.19677 
4    3    0.36338 
4    4    0.49516 
4    5    0.00000 
4    6    -0.37904 
4    7    0.20301 
4    8    0.29104 
4    9    0.00000 
4    10    -0.01199 
4    11    0.01981 
4    12    -0.02132 
4    13    0.05906 
4    14    0.00000 
4    15    0.00000 
4    16    0.10823 
4    17    -0.00667 
4    18    0.00253 
4    19    -0.00522 
4    20    0.00000 
4    21    0.09729 
4    22    0.00692 
4    23    -0.00486 
4    24    0.00341 
4    25    0.00000 
MO:5   -0.34470
5    1    0.00000 
5    2    0.00000 
5    3    0.00000 
5    4    0.00000 
5    5    0.66117 
5    6    0.00000 
5    7    0.00000 
5    8    0.00000 
5    9    0.45617 
5    10    0.00000 
5    11    0.00000 
5    12    0.00000 
5    13    0.00000 
5    14    0.02631 
5    15    0.03235 
5    16    0.00000 
5    17    0.00000 
5    18    0.00000 
5    19    0.00000 
5    20    0.01960 
5    21    0.00000 
5    22    0.00000 
5    23    0.00000 
5    24    0.00000 
5    25    0.02210 
MO:6   0.13741
6    1    -0.11579 
6    2    0.03876 
6    3    0.08034 
6    4    0.06645 
6    5    0.00000 
6    6    2.20361 
6    7    0.15888 
6    8    0.11549 
6    9    0.00000 
6    10    -0.10029 
6    11    -0.10053 
6    12    -0.11540 
6    13    0.00105 
6    14    0.00000 
6    15    0.00000 
6    16    0.05226 
6    17    -1.59035 
6    18    0.00736 
6    19    -0.00563 
6    20    0.00000 
6    21    0.02799 
6    22    -1.07941 
6    23    -0.01093 
6    24    -0.00326 
6    25    0.00000 
MO:7   0.25188
7    1    0.01131 
7    2    -0.00181 
7    3    0.17978 
7    4    -0.15832 
7    5    0.00000 
7    6    -0.15442 
7    7    0.77626 
7    8    -0.53321 
7    9    0.00000 
7    10    0.05432 
7    11    -0.03720 
7    12    0.00767 
7    13    0.02175 
7    14    0.00000 
7    15    0.00000 
7    16    -0.02011 
7    17    -2.70505 
7    18    -0.03346 
7    19    0.00643 
7    20    0.00000 
7    21    -0.01322 
7    22    2.92646 
7    23    -0.02152 
7    24    0.03513 
7    25    0.00000 
MO:8   0.77422
8    1    -0.02794 
8    2    0.12921 
8    3    -0.36731 
8    4    -0.53415 
8    5    0.00000 
8    6    0.79984 
8    7    0.72397 
8    8    1.19381 
8    9    0.00000 
8    10    0.06793 
8    11    0.17873 
8    12    0.07039 
8    13    0.17599 
8    14    0.00000 
8    15    0.00000 
8    16    -0.26121 
8    17    -0.31201 
8    18    -0.05011 
8    19    -0.18572 
8    20    0.00000 
8    21    -0.30076 
8    22    -0.57524 
8    23    -0.15114 
8    24    -0.11461 
8    25    0.00000 
MO:9   0.82825
9    1    0.00000 
9    2    0.00000 
9    3    0.00000 
9    4    0.00000 
9    5    -0.77249 
9    6    0.00000 
9    7    0.00000 
9    8    0.00000 
9    9    1.13543 
9    10    0.00000 
9    11    0.00000 
9    12    0.00000 
9    13    0.00000 
9    14    0.06184 
9    15    0.08234 
9    16    0.00000 
9    17    0.00000 
9    18    0.00000 
9    19    0.00000 
9    20    -0.17634 
9    21    0.00000 
9    22    0.00000 
9    23    0.00000 
9    24    0.00000 
9    25    -0.17419 
MO:10   0.96236
10    1    0.00097 
10    2    0.02086 
10    3    0.33835 
10    4    -0.21842 
10    5    0.00000 
10    6    -0.15550 
10    7    -2.09754 
10    8    1.41178 
10    9    0.00000 
10    10    0.02191 
10    11    -0.01184 
10    12    0.01540 
10    13    0.01297 
10    14    0.00000 
10    15    0.00000 
10    16    0.64516 
10    17    2.39348 
10    18    0.12422 
10    19    -0.00136 
10    20    0.00000 
10    21    -0.61571 
10    22    -2.27601 
10    23    0.05143 
10    24    -0.12262 
10    25    0.00000 
MO:11   1.23339
11    1    -0.01873 
11    2    -1.18623 
11    3    0.07276 
11    4    0.08601 
11    5    0.00000 
11    6    5.69715 
11    7    0.35892 
11    8    0.60599 
11    9    0.00000 
11    10    -0.54534 
11    11    -0.52226 
11    12    -0.39031 
11    13    0.02749 
11    14    0.00000 
11    15    0.00000 
11    16    -0.49901 
11    17    -1.48442 
11    18    0.19797 
11    19    0.10602 
11    20    0.00000 
11    21    -0.51528 
11    22    -1.63491 
11    23    0.03771 
11    24    0.23089 
11    25    0.00000 
MO:12   1.44249
12    1    -0.01537 
12    2    0.01740 
12    3    -0.44581 
12    4    0.35465 
12    5    0.00000 
12    6    -0.13109 
12    7    0.82051 
12    8    -0.56963 
12    9    0.00000 
12    10    0.37359 
12    11    -0.38042 
12    12    0.12126 
12    13    0.24458 
12    14    0.00000 
12    15    0.00000 
12    16    0.13404 
12    17    -1.44442 
12    18    0.19778 
12    19    0.10105 
12    20    0.00000 
12    21    -0.25864 
12    22    1.56242 
12    23    0.02325 
12    24    -0.33108 
12    25    0.00000 
MO:13   1.46664
13    1    0.06680 
13    2    -0.23614 
13    3    -0.16643 
13    4    -0.04648 
13    5    0.00000 
13    6    1.08689 
13    7    0.15872 
13    8    -0.04103 
13    9    0.00000 
13    10    0.19535 
13    11    -0.25118 
13    12    -0.59517 
13    13    -0.42026 
13    14    0.00000 
13    15    0.00000 
13    16    0.31951 
13    17    -0.64901 
13    18    0.33734 
13    19    -0.05207 
13    20    0.00000 
13    21    0.22749 
13    22    -0.15206 
13    23    -0.15109 
13    24    0.20330 
13    25    0.00000 
MO:14   1.67264
14    1    0.00000 
14    2    0.00000 
14    3    0.00000 
14    4    0.00000 
14    5    0.00365 
14    6    0.00000 
14    7    0.00000 
14    8    0.00000 
14    9    -0.00246 
14    10    0.00000 
14    11    0.00000 
14    12    0.00000 
14    13    0.00000 
14    14    0.68836 
14    15    -0.53817 
14    16    0.00000 
14    17    0.00000 
14    18    0.00000 
14    19    0.00000 
14    20    0.11971 
14    21    0.00000 
14    22    0.00000 
14    23    0.00000 
14    24    0.00000 
14    25    -0.12037 
MO:15   1.70572
15    1    -0.02556 
15    2    -0.07348 
15    3    0.10403 
15    4    0.12549 
15    5    0.00000 
15    6    0.20491 
15    7    0.03271 
15    8    0.08631 
15    9    0.00000 
15    10    -0.14127 
15    11    -0.49311 
15    12    0.67146 
15    13    -0.60723 
15    14    0.00000 
15    15    0.00000 
15    16    -0.10814 
15    17    0.00194 
15    18    -0.07891 
15    19    -0.06365 
15    20    0.00000 
15    21    -0.10006 
15    22    -0.05514 
15    23    -0.03326 
15    24    -0.08781 
15    25    0.00000 
MO:16   1.73788
16    1    0.00000 
16    2    0.00000 
16    3    0.00000 
16    4    0.00000 
16    5    -0.11456 
16    6    0.00000 
16    7    0.00000 
16    8    0.00000 
16    9    -0.02202 
16    10    0.00000 
16    11    0.00000 
16    12    0.00000 
16    13    0.00000 
16    14    0.58232 
16    15    0.75934 
16    16    0.00000 
16    17    0.00000 
16    18    0.00000 
16    19    0.00000 
16    20    0.05993 
16    21    0.00000 
16    22    0.00000 
16    23    0.00000 
16    24    0.00000 
16    25    0.05009 
MO:17   2.99324
17    1    -0.12718 
17    2    -1.06744 
17    3    0.18854 
17    4    0.27821 
17    5    0.00000 
17    6    1.66221 
17    7    0.39378 
17    8    0.82708 
17    9    0.00000 
17    10    1.06466 
17    11    0.94775 
17    12    -0.46258 
17    13    -0.51606 
17    14    0.00000 
17    15    0.00000 
17    16    -1.11539 
17    17    -0.27248 
17    18    -0.74400 
17    19    -0.07323 
17    20    0.00000 
17    21    -1.24620 
17    22    -0.46303 
17    23    0.29506 
17    24    -0.86751 
17    25    0.00000 
MO:18   3.08125
18    1    0.00948 
18    2    0.06266 
18    3    -0.30782 
18    4    0.19857 
18    5    0.00000 
18    6    -0.13593 
18    7    -1.02178 
18    8    0.64997 
18    9    0.00000 
18    10    -0.27544 
18    11    0.16513 
18    12    0.03806 
18    13    -0.04606 
18    14    0.00000 
18    15    0.00000 
18    16    0.32182 
18    17    0.78392 
18    18    0.66141 
18    19    -1.03801 
18    20    0.00000 
18    21    -0.17098 
18    22    -0.72197 
18    23    1.15938 
18    24    -0.18749 
18    25    0.00000 
MO:19   3.22094
19    1    -0.01033 
19    2    -0.04220 
19    3    -0.14244 
19    4    0.12032 
19    5    0.00000 
19    6    0.13194 
19    7    1.18280 
19    8    -0.77480 
19    9    0.00000 
19    10    1.47196 
19    11    -1.38931 
19    12    -0.03661 
19    13    0.54667 
19    14    0.00000 
19    15    0.00000 
19    16    -1.12478 
19    17    -0.81115 
19    18    -0.95732 
19    19    -0.61144 
19    20    0.00000 
19    21    0.97814 
19    22    0.75264 
19    23    0.29631 
19    24    1.02908 
19    25    0.00000 
MO:20   3.26278
20    1    0.00000 
20    2    0.00000 
20    3    0.00000 
20    4    0.00000 
20    5    -0.04332 
20    6    0.00000 
20    7    0.00000 
20    8    0.00000 
20    9    -0.01894 
20    10    0.00000 
20    11    0.00000 
20    12    0.00000 
20    13    0.00000 
20    14    1.32052 
20    15    -0.97552 
20    16    0.00000 
20    17    0.00000 
20    18    0.00000 
20    19    0.00000 
20    20    -1.47700 
20    21    0.00000 
20    22    0.00000 
20    23    0.00000 
20    24    0.00000 
20    25    1.56729 
MO:21   3.39853
21    1    0.00000 
21    2    0.00000 
21    3    0.00000 
21    4    0.00000 
21    5    -1.25072 
21    6    0.00000 
21    7    0.00000 
21    8    0.00000 
21    9    -0.50602 
21    10    0.00000 
21    11    0.00000 
21    12    0.00000 
21    13    0.00000 
21    14    -0.61794 
21    15    -0.77373 
21    16    0.00000 
21    17    0.00000 
21    18    0.00000 
21    19    0.00000 
21    20    1.35103 
21    21    0.00000 
21    22    0.00000 
21    23    0.00000 
21    24    0.00000 
21    25    1.24578 
MO:22   3.70320
22    1    -0.28882 
22    2    0.43030 
22    3    -0.50586 
22    4    -0.71262 
22    5    0.00000 
22    6    3.78626 
22    7    0.01637 
22    8    0.05919 
22    9    0.00000 
22    10    -0.35903 
22    11    -1.38806 
22    12    -1.23967 
22    13    -1.72586 
22    14    0.00000 
22    15    0.00000 
22    16    -0.61636 
22    17    -0.65577 
22    18    0.02889 
22    19    1.38791 
22    20    0.00000 
22    21    -0.64304 
22    22    -0.67969 
22    23    1.30626 
22    24    0.46945 
22    25    0.00000 
MO:23   3.83408
23    1    -0.36699 
23    2    0.13035 
23    3    0.55792 
23    4    0.78410 
23    5    0.00000 
23    6    4.95678 
23    7    0.49735 
23    8    0.71481 
23    9    0.00000 
23    10    -1.85582 
23    11    -0.95047 
23    12    -1.45201 
23    13    1.45486 
23    14    0.00000 
23    15    0.00000 
23    16    -0.12199 
23    17    -1.03556 
23    18    0.18235 
23    19    -1.28828 
23    20    0.00000 
23    21    -0.12411 
23    22    -1.04532 
23    23    -1.27512 
23    24    -0.26764 
23    25    0.00000 
MO:24   6.39163
24    1    -0.00209 
24    2    -0.01633 
24    3    1.94974 
24    4    -1.38613 
24    5    0.00000 
24    6    -0.00047 
24    7    1.03785 
24    8    -0.73611 
24    9    0.00000 
24    10    0.69949 
24    11    -0.70578 
24    12    0.00013 
24    13    0.28882 
24    14    0.00000 
24    15    0.00000 
24    16    -3.40036 
24    17    -0.81311 
24    18    1.43103 
24    19    -0.09513 
24    20    0.00000 
24    21    3.42631 
24    22    0.81164 
24    23    0.56958 
24    24    -1.32374 
24    25    0.00000 
